ROOMS/ROOM/0/ROOMID,ROOMS/ROOM/0/ROOM_NAME,ROOMS/ROOM/0/OCCUPANCY,ROOMS/ROOM/0/ROOM_STATUS,ROOMS/ROOM/1/ROOMID,ROOMS/ROOM/1/ROOM_NAME,ROOMS/ROOM/1/OCCUPANCY,ROOMS/ROOM/1/ROOM_STATUS,_HOTEL_ID,_HOTEL_NAME,_LOCATION,_RATING,_AVAILABLE,_ISRECOMMENDEDPRODUCT,_STARTING_PRICE,_CURRENCY,ROOMS/ROOM/0/RULE_TEXT,ROOMS/ROOM/1/RULE_TEXT,ROOMS/ROOM/2/ROOMID,ROOMS/ROOM/2/ROOM_NAME,ROOMS/ROOM/2/OCCUPANCY,ROOMS/ROOM/2/ROOM_STATUS,ROOMS/ROOM/3/ROOMID,ROOMS/ROOM/3/ROOM_NAME,ROOMS/ROOM/3/OCCUPANCY,ROOMS/ROOM/3/ROOM_STATUS
961874,Twin Room (Without Breakfast),2,AVAILABLE,961875,Double Room (Without Breakfast),3,AVAILABLE,7161,Migny Opera Montmartre Hotel,Pigalle,3 *,Yes,0,105.7600,EUR,,,,,,,,,,
964618,Double Room Superior,3,AVAILABLE,,,,,7176,Opera Cadet Hotel,Cadet,4 *,Yes,0,197.3800,EUR,,,,,,,,,,
73339,Double Room Deluxe,3,AVAILABLE,73344,Double Room Superior,3,AVAILABLE,16574,Plaza Tour Eiffel,Trocadero Station,4 *,Yes,0,227.3700,EUR,,,,,,,,,,
80130,Double Room,3,AVAILABLE,80131,Twin Room,2,AVAILABLE,19090,Marena Hotel,Cadet,3 *,Yes,0,75.3500,EUR,25% rate reduction on all nights of the stay,25% rate reduction on all nights of the stay,,,,,,,,
960285,Double Room Deluxe Suite,3,AVAILABLE,967850,Double Room Superior Special,3,AVAILABLE,21853,Pullman Paris Bercy Hotel,Cour St Emillon,4 *,Yes,0,155.0200,EUR,,,967852,Twin Room Superior Special,2,AVAILABLE,967854,Double Room Deluxe Suite Special,3,AVAILABLE
259360,Twin Room Studio (Without Breakfast),2,AVAILABLE,,,,,22416,Residhome Courbevoie la Defense,La Defense,4 *,Yes,0,62.3500,EUR,10% rate reduction for all nights,,,,,,,,,
822916,Double Room Superior,3,AVAILABLE,909589,Double Room Classic,3,AVAILABLE,34332,Kube Hotel - NON REFUNDABLE ROOM,La Chapelle,4 *,Yes,0,197.8900,EUR,5% reduction on rates,5% reduction on rates,,,,,,,,
908621,Double Room Classic,3,AVAILABLE,,,,,34333,1K Hotel - NON REFUNDABLE ROOM,Filles du Calvaire,4 *,Yes,0,279.0700,EUR,5% reduction on rates,,,,,,,,,
967746,Double Room Superior Special,3,AVAILABLE,967747,Twin Room Superior Special,2,AVAILABLE,35958,Pullman Versailles Chateau Hotel,RER Versailles,4 *,Yes,0,123.3600,EUR,,,,,,,,,,
703240,Twin Room,2,AVAILABLE,703241,Double Room,3,AVAILABLE,44194,Royal Mansart Hotel,Blanche,3 *,Yes,0,74.0300,EUR,,,,,,,,,,
